DOY,H_den_SWP,SW_spd_SWP,Trr_SWP
10,3.7025,424.7678,5.82E+04
11,5.2142,384.4085,4.61E+04
12,5.1923,373.6124,4.42E+04
13,2.9353,355.9587,5.60E+04
14,8.3946,359.8684,4.24E+04
15,7.629,491.4811,1.79E+05
16,2.9466,565.5111,1.70E+05
17,2.5418,536.1221,1.32E+05
18,1.512,587.808,1.58E+05
19,2.9223,621.528,9.51E+04
20,2.332,472.9588,6.93E+04
21,2.599,437.6857,9.48E+04
22,2.9733,420.8111,6.82E+04
23,3.466,357.4575,3.77E+04
24,5.8713,312.7817,2.60E+04
25,10.3158,376.8968,8.79E+04
26,4.1744,463.1682,1.23E+05
27,4.7567,452.2494,1.16E+05
28,3.1564,438.3882,7.35E+04
29,3.6549,488.4805,1.58E+05
30,2.0568,483.8436,8.52E+04
31,1.5763,466.8656,7.83E+04
32,3.3258,407.705,9.86E+04
33,6.2569,438.5437,9.05E+04
34,3.9205,507.7839,1.16E+05
35,4.8825,514.0312,6.13E+04
36,2.1268,514.579,1.45E+05
37,1.3013,565.5009,2.00E+05
38,1.1617,470.0876,1.05E+05
39,2.2891,418.6974,6.14E+04
40,3.1092,378.7041,5.02E+04
41,6.2809,406.3893,4.10E+04
42,6.7229,414.9797,6.42E+04
43,3.3996,546.8932,1.62E+05
44,2.9471,501.512,1.17E+05
45,3.0061,451.2386,7.64E+04
46,3.0138,394.0151,5.87E+04
47,4.976,369.4211,3.68E+04
48,3.8691,359.4628,3.52E+04
49,10.1028,337.8261,2.25E+04
50,8.9149,367.5987,5.81E+04
51,5.1851,498.6089,1.33E+05
52,2.4164,518.9469,1.32E+05
53,2.2679,526.3206,1.37E+05
54,2.2942,470.9897,8.98E+04
55,2.9431,453.454,9.45E+04
56,3.2303,415.6483,8.50E+04
57,4.6464,376.9938,3.59E+04
58,6.5974,432.6724,1.18E+05
59,3.431,490.5385,1.56E+05
60,1.9824,510.593,1.29E+05
61,2.4871,449.3488,7.33E+04
62,6.739,382.4831,4.74E+04
63,4.624,435.517,9.38E+04
64,3.9048,462.455,1.52E+05
65,1.211,517.0297,1.94E+05
66,1.6077,462.3846,8.28E+04
67,2.2396,423.7776,6.19E+04
68,1.889,368.0134,5.16E+04
69,6.4572,358.0156,3.16E+04
70,8.317,378.3701,5.54E+04
71,2.6647,380.7677,3.88E+04
72,6.7804,409.5955,9.06E+04
73,4.9567,418.1751,4.72E+04
74,2.6406,389.2603,8.17E+04
75,1.0472,400.0236,5.80E+04
76,0.8033,353.2322,4.86E+04
77,1.2657,307.1855,2.34E+04
78,2.9146,300.8792,3.57E+04
79,4.8177,309.888,2.71E+04
80,5.3863,328.8137,3.75E+04
81,4.1988,339.4237,5.09E+04
82,2.9315,398.1509,8.46E+04
83,1.815,522.4676,1.53E+05
84,1.1139,436.5896,7.67E+04
85,1.0325,406.0368,5.94E+04
86,3.4629,481.3859,2.12E+05
87,1.3645,493.9026,7.20E+04
88,1.7037,416.904,4.98E+04
89,1.9579,392.2987,3.37E+04
90,4.5069,505.0012,1.59E+05
91,0.5859,457.8722,8.78E+04
92,1.5027,547.9378,1.94E+05
93,2.2207,481.2225,8.04E+04
94,2.0217,471.0053,8.90E+04
95,1.0305,424.92,9.17E+04
96,1.5958,388.7093,5.00E+04
97,3.0344,411.9701,5.07E+04
98,6.2489,366.4041,1.52E+04
99,8.0493,369.2848,2.74E+04
100,4.1972,469.571,1.05E+05
101,2.069,504.4488,1.19E+05
102,3.7017,467.2307,1.07E+05
103,1.5702,462.8115,8.89E+04
104,1.1819,463.6346,9.57E+04
105,1.0444,535.7006,1.89E+05
106,1.0973,558.8583,2.15E+05
107,1.5108,516.1955,1.42E+05
108,0.5298,565.7496,1.29E+05
109,1.1938,479.4415,9.23E+04
110,2.6416,409.1677,5.33E+04
111,4.571,421.8561,8.80E+04
112,2.7573,450.5938,6.97E+04
113,2.6407,460.5309,9.74E+04
114,1.9382,452.8068,7.57E+04
115,1.9185,428.5743,8.44E+04
116,2.5702,381.3006,4.87E+04
117,3.4548,433.3398,1.03E+05
118,1.9536,493.4854,1.48E+05
119,2.0423,500.3954,1.18E+05
120,2.2222,482.8183,1.28E+05
121,2.0388,458.637,7.06E+04
122,1.8125,454.7139,8.49E+04
123,2.1917,414.1787,4.79E+04
124,1.3998,375.726,5.56E+04
125,1.7651,355.9521,5.94E+04
126,0.8388,381.5858,7.64E+04
127,0.5322,315.0687,2.74E+04
128,2.8891,319.1992,1.67E+04
129,2.9741,307.6549,1.70E+04
130,2.6952,297.1366,3.10E+04
131,3.1807,292.9383,3.00E+04
132,6.0192,313.7318,4.40E+04
133,3.5554,344.8098,4.21E+04
134,8.1156,356.0515,5.44E+04
135,3.657,537.2075,2.12E+05
136,3.3388,529.6425,1.78E+05
137,3.7794,541.2088,1.77E+05
138,2.6528,487.1666,1.16E+05
139,3.1701,487.0402,1.62E+05
