STATION,NAME,DATE,PRCP,TAVG
RPM00098134,"BASCO RADAR, RP",01/01/2022,0.1,72
RPM00098134,"BASCO RADAR, RP",02/01/2022,,71
RPM00098134,"BASCO RADAR, RP",03/01/2022,,71
RPM00098134,"BASCO RADAR, RP",04/01/2022,0.28,73
RPM00098134,"BASCO RADAR, RP",05/01/2022,0.05,73
RPM00098134,"BASCO RADAR, RP",06/01/2022,0,74
RPM00098134,"BASCO RADAR, RP",07/01/2022,0.02,70
RPM00098134,"BASCO RADAR, RP",08/01/2022,0.77,70
RPM00098134,"BASCO RADAR, RP",09/01/2022,1.27,70
RPM00098134,"BASCO RADAR, RP",10/01/2022,0,72
RPM00098134,"BASCO RADAR, RP",11/01/2022,,69
RPM00098134,"BASCO RADAR, RP",12/01/2022,,67
RPM00098134,"BASCO RADAR, RP",13/01/2022,,68
RPM00098134,"BASCO RADAR, RP",14/01/2022,0.33,69
RPM00098134,"BASCO RADAR, RP",15/01/2022,0.14,70
RPM00098134,"BASCO RADAR, RP",16/01/2022,0.42,72
RPM00098134,"BASCO RADAR, RP",17/01/2022,0,74
RPM00098134,"BASCO RADAR, RP",18/01/2022,,73
RPM00098134,"BASCO RADAR, RP",19/01/2022,,72
RPM00098134,"BASCO RADAR, RP",20/01/2022,0.7,70
RPM00098134,"BASCO RADAR, RP",21/01/2022,1.91,70
RPM00098134,"BASCO RADAR, RP",22/01/2022,0.76,74
RPM00098134,"BASCO RADAR, RP",23/01/2022,0.05,76
RPM00098134,"BASCO RADAR, RP",24/01/2022,0.33,75
RPM00098134,"BASCO RADAR, RP",25/01/2022,0,73
RPM00098134,"BASCO RADAR, RP",26/01/2022,,74
RPM00098134,"BASCO RADAR, RP",27/01/2022,,71
RPM00098134,"BASCO RADAR, RP",28/01/2022,,72
RPM00098134,"BASCO RADAR, RP",29/01/2022,,72
RPM00098134,"BASCO RADAR, RP",30/01/2022,,70
RPM00098134,"BASCO RADAR, RP",31/01/2022,,68
RPM00098134,"BASCO RADAR, RP",01/02/2022,,71
RPM00098134,"BASCO RADAR, RP",02/02/2022,,74
RPM00098134,"BASCO RADAR, RP",03/02/2022,,74
RPM00098134,"BASCO RADAR, RP",04/02/2022,,72
RPM00098134,"BASCO RADAR, RP",05/02/2022,,70
RPM00098134,"BASCO RADAR, RP",06/02/2022,,69
RPM00098134,"BASCO RADAR, RP",07/02/2022,,72
RPM00098134,"BASCO RADAR, RP",08/02/2022,0.99,71
RPM00098134,"BASCO RADAR, RP",09/02/2022,,73
RPM00098134,"BASCO RADAR, RP",10/02/2022,,73
RPM00098134,"BASCO RADAR, RP",11/02/2022,,74
RPM00098134,"BASCO RADAR, RP",12/02/2022,,75
RPM00098134,"BASCO RADAR, RP",13/02/2022,0.02,75
RPM00098134,"BASCO RADAR, RP",14/02/2022,0.28,71
RPM00098134,"BASCO RADAR, RP",15/02/2022,0.26,72
RPM00098134,"BASCO RADAR, RP",16/02/2022,0,72
RPM00098134,"BASCO RADAR, RP",17/02/2022,0.1,74
RPM00098134,"BASCO RADAR, RP",18/02/2022,0.05,73
RPM00098134,"BASCO RADAR, RP",19/02/2022,0.02,72
RPM00098134,"BASCO RADAR, RP",20/02/2022,0,65
RPM00098134,"BASCO RADAR, RP",21/02/2022,0.11,67
RPM00098134,"BASCO RADAR, RP",22/02/2022,0.22,70
RPM00098134,"BASCO RADAR, RP",23/02/2022,0.43,72
RPM00098134,"BASCO RADAR, RP",24/02/2022,0.69,68
RPM00098134,"BASCO RADAR, RP",25/02/2022,0.07,70
